         1082225 function calls (1054557 primitive calls) in 1.667 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       87    0.001    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
      730    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1444    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      258    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
       28    0.001    0.000    0.005    0.000 _decorators.py:297(decorate)
      123    0.001    0.000    0.001    0.000 _model_construction.py:724(set_deprecated_descriptors)
      570    0.001    0.000    0.001    0.000 enum.py:48(_is_dunder)
     1011    0.000    0.000    0.001    0.000 alias_generators.py:22(<lambda>)
       98    0.000    0.000    0.005    0.000 utils.py:261(is_multi_byte_encoding)
      987    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
