         513935 function calls (501521 primitive calls) in 1.434 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      619    0.000    0.000    0.000    0.000 inspect.py:3045(<genexpr>)
        1    0.000    0.000    0.005    0.005 numerictypes.py:1(<module>)
       28    0.000    0.000    0.007    0.000 dataclasses.py:449(_create_fn)
        1    0.000    0.000    0.000    0.000 response.py:689(HTTPResponse)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      616    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
    76/74    0.000    0.000    0.055    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
        1    0.000    0.000    0.001    0.001 accessor.py:150(StringMethods)
     97/7    0.000    0.000    0.209    0.030 __init__.py:73(import_module)
      838    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
     1408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      392    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.007    0.007 socket.py:1(<module>)
        1    0.000    0.000    0.007    0.007 tz.py:1(<module>)
        2    0.000    0.000    0.005    0.003 datetimelike.py:1(<module>)
        1    0.000    0.000    0.001    0.001 stata.py:1(<module>)
       29    0.000    0.000    0.004    0.000 _decorators.py:366(decorator)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      151    0.000    0.000    0.005    0.000 __init__.py:179(sub)
        1    0.000    0.000    0.000    0.000 docstrings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimes.py:175(DatetimeArray)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
       13    0.000    0.000    0.002    0.000 accessor.py:75(_add_delegate_accessors)
        1    0.000    0.000    0.001    0.001 _scimath_impl.py:1(<module>)
       34    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
       17    0.000    0.000    0.000    0.000 typing.py:1721(_get_protocol_attrs)
      130    0.000    0.000    0.001    0.000 inspect.py:2781(replace)
        1    0.000    0.000    0.000    0.000 categorical.py:249(Categorical)
       61    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 core.py:2759(MaskedArray)
      561    0.000    0.000    0.000    0.000 inspect.py:299(ismethod)
        3    0.000    0.000    0.010    0.003 cookies.py:1(<module>)
      886    0.000    0.000    0.000    0.000 inspect.py:2777(kind)
        3    0.000    0.000    0.002    0.001 timedeltas.py:1(<module>)
        3    0.000    0.000    0.002    0.001 missing.py:1(<module>)
      356    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
      561    0.000    0.000    0.000    0.000 functools.py:421(_unwrap_partial)
      134    0.000    0.000    0.014    0.000 inspect.py:3308(signature)
      134    0.000    0.000    0.014    0.000 inspect.py:3050(from_callable)
        1    0.000    0.000    0.029    0.029 config.py:1(<module>)
      101    0.000    0.000    0.010    0.000 typing.py:514(__getitem__)
        1    0.000    0.000    0.001    0.001 timeout.py:1(<module>)
       48    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      259    0.000    0.000    0.001    0.000 inspect.py:420(iscoroutinefunction)
        1    0.000    0.000    0.142    0.142 frame.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scope.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        3    0.000    0.000    0.006    0.002 concat.py:1(<module>)
